DCF,Flagged,Complexity,Dimensions,compute-sync,compute-app,compute-cross,unbound-collection,unbound-allocation,unbound-os,Link,Open?
org.apache.cassandra.db.rows.UnfilteredSerializer.serialize,TRUE,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.ClusteringPrefix$Deserializer.skipNext,TRUE,Linear,Table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.ClusteringPrefix$Deserializer.compareNextTo,TRUE,Linear,Table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.schema.Tables.getNullable,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.service.StorageProxy.syncWriteBatchedMutations,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.cql3.statements.BatchStatement.execute,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-16988,YES
org.apache.cassandra.locator.Replicas.temporaryAssertFull,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.service.StorageProxy.sendToHintedReplicas,TRUE,Linear,Table,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.utils.btree.BTree.buildMaximallyDense,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-15510,NO
org.apache.cassandra.service.StorageProxy.mutateAtomically,TRUE,Linear,Table,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19744,YES
org.apache.cassandra.db.ColumnIndex.add,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.ColumnIndex.buildRowIndex,TRUE,Linear,"Table,Row",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-16764,NO
org.apache.cassandra.db.Keyspace.getValidColumnFamilies,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.schema.CompactionParams.equals,TRUE,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.repair.PendingAntiCompaction.run,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.compaction.CompactionStrategyManager.getEstimatedRemainingTasks,TRUE,Linear,Table,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-9625,YES
org.apache.cassandra.utils.MerkleTrees.tryMoveOffHeap,TRUE,Linear,Table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.repair.PendingAntiCompaction$AcquisitionCallback.apply,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.repair.consistent.LocalSessions.maybeUpdateRepairedState,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-17342,NO
org.apache.cassandra.service.ActiveRepairService.prepareForRepair,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.db.partitions.PartitionUpdate$PartitionUpdateSerializer.deserialize,TRUE,Linear,Table,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
org.apache.cassandra.schema.ColumnMetadata.comparisonOrder,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.cql3.Sets$DelayedValue.bind,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.cql3.Sets$Literal.prepare,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.repair.RepairRunnable.runMayThrow,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.dht.Murmur3Partitioner.midpoint,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19381,YES
org.apache.cassandra.schema.SystemDistributedKeyspace.startRepairs,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.repair.consistent.RepairedState.addAll,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.cql3.Cql_Parser.setLiteral,TRUE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.utils.MerkleTree$OffHeapInner.deserializeWithoutIdent,TRUE,Linear,Table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.utils.MerkleTree.histogramOfRowSizePerLeaf,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.batchlog.Batch$Serializer.readEncodedMutations,TRUE,Linear,Table,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
org.apache.cassandra.utils.concurrent.WaitQueue$Standard.register,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.dht.Range.normalize,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-18398,NO
org.apache.cassandra.repair.ValidationManager.doValidation,TRUE,Linear,Table,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-18915,YES
org.apache.cassandra.utils.MerkleTree$OnHeapInner.serializeOffHeap,TRUE,Linear,Table,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.cql3.ColumnIdentifier.prefixComparison,TRUE,Linear,Table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.utils.MerkleTree.histogramOfRowCountPerLeaf,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.repair.RepairSession.start,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
org.apache.cassandra.utils.btree.BTree.transformAndFilterLeaf,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.schema.SchemaKeyspace.fetchTables,TRUE,Linear,Table,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-13002,YES
org.apache.cassandra.concurrent.SEPExecutor.addTask,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
org.apache.cassandra.db.memtable.Flushing$FlushRunnable.writeSortedContents,TRUE,Linear,Row,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-18125,NO
org.apache.cassandra.db.partitions.AbstractBTreePartition.sliceIterator,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.net.Message$Serializer.extractParams,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
