name=[org.apache.hadoop.fs.TestGlobPaths.testGlobRootOnFC#0], declaringLine=[1255], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobRootOnFS#0], declaringLine=[1250], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobSymlinksWithCustomPathFilterOnFC#0], declaringLine=[1061], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobSymlinksWithCustomPathFilterOnFS#0], declaringLine=[1055], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobWithSymlinksOnFC#0], declaringLine=[925], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobWithSymlinksOnFS#0], declaringLine=[919], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobWithSymlinksToSymlinksOnFC#0], declaringLine=[1007], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testGlobWithSymlinksToSymlinksOnFS#0], declaringLine=[1001], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testLocalFilesystem#0], declaringLine=[1306], LOC=[19]
name=[org.apache.hadoop.fs.TestGlobPaths.testMultiGlob#0], declaringLine=[111], LOC=[326]
name=[org.apache.hadoop.fs.TestGlobPaths.testNonTerminalGlobsOnFC#0], declaringLine=[1301], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testNonTerminalGlobsOnFS#0], declaringLine=[1296], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testOnFileContext#1#org.apache.hadoop.fs.TestGlobPaths$FSTestWrapperGlobTest], declaringLine=[843], LOC=[7]
name=[org.apache.hadoop.fs.TestGlobPaths.testOnFileSystem#1#org.apache.hadoop.fs.TestGlobPaths$FSTestWrapperGlobTest], declaringLine=[831], LOC=[7]
name=[org.apache.hadoop.fs.TestGlobPaths.testPathFilter#0], declaringLine=[456], LOC=[10]
name=[org.apache.hadoop.fs.TestGlobPaths.testPathFilterWithFixedLastComponent#0], declaringLine=[469], LOC=[11]
name=[org.apache.hadoop.fs.TestGlobPaths.testRelativePathOnFC#0], declaringLine=[1155], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testRelativePathOnFS#0], declaringLine=[1150], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testReservedHdfsPathsOnFC#0], declaringLine=[1224], LOC=[2]
name=[org.apache.hadoop.fs.TestGlobPaths.testReservedHdfsPathsOnFS#0], declaringLine=[1219], LOC=[2]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.ClusterShutdownAtEnd#0], declaringLine=[84], LOC=[5]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.clusterSetupAtBegining#0], declaringLine=[58], LOC=[9]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.createFileContextHelper#0], declaringLine=[53], LOC=[2]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.getDefaultWorkingDirectory#0], declaringLine=[104], LOC=[2]
name=[org.apache.hadoop.fs.TestHDFSFileContextMainOperations.getTestRootPath#2#org.apache.hadoop.fs.FileContext#java.lang.String], declaringLine=[116], LOC=[2]
